Comment,Designator,Footprint,LCSC Part #
1uF 50V Polarized capacitor,"C1,C2",CP_Radial_D5.0mm_P2.50mm,
100nF 63V Unpolarized capacitor,"C3,C4",C_Rect_L7.0mm_W2.0mm_P5.00mm,
DB107 ,"D1,D2",DB107,
MountingHole Mounting Hole without connection,"H1,H2,H3,H4",MountingHole_3.2mm_M3,
"24V Field Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",J1,TerminalBlock_bornier-2_P5.08mm,
"24V System Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",J2,TerminalBlock_bornier-2_P5.08mm,
"Enable Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",J3,TerminalBlock_bornier-2_P5.08mm,
"Screw_Terminal_01x03 Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",J4,TerminalBlock_bornier-3_P5.08mm,
"Conn_01x06_Female Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","J5,J6",PinSocket_1x06_P2.54mm_Horizontal,
4k7 Resistor,"R1,R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
100k Resistor,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
"SW_DIP_x03 3x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",SW1,SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm,
LM2596-Board ,U1,LM2596-Board,
WT32-ETH0-Board ,U2,WT32-ETH01-Board-Reversed,
"PC817 DC Optocoupler, Vce 35V, CTR 50-300%, DIP-4",U3,DIP-4_W7.62mm,
