Designator,Mid X,Mid Y,Layer,Rotation
H4,106.299mm,-109.855mm,T,0
H3,66.929mm,-123.571mm,T,0
H2,129.921mm,-58.039mm,T,0
H1,66.929mm,-58.039mm,T,0
U1,121.412mm,-83.82mm,T,270
U2,83.947mm,-97.663mm,T,0
D2,91.313mm,-68.199mm,T,270
D1,81.915mm,-68.199mm,T,270
C4,98.552mm,-69.088mm,T,270
C3,69.215mm,-73.66mm,T,90
C2,103.632mm,-68.707mm,T,270
C1,103.632mm,-74.93mm,T,270
R3,78.867mm,-100.838mm,T,90
U3,83.058mm,-100.838mm,T,90
R2,89.789mm,-100.838mm,T,90
SW1,101.727mm,-90.551mm,T,90
J3,99.695mm,-61.849mm,T,180
R1,87.884mm,-104.902mm,T,180
J4,102.235mm,-119.761mm,T,0
J2,89.535mm,-61.849mm,T,180
J1,79.375mm,-61.849mm,T,180
J6,122.301mm,-121.92mm,T,180
J5,122.301mm,-99.06mm,T,180
