Designator,Mid X,Mid Y,Layer,Rotation
H3,67.056mm,-123.444mm,T,0
U3,82.804mm,-98.6825mm,T,0
J3,119.205581mm,-89.1575mm,T,180
J2,104.394mm,-118.8455mm,T,180
R5,85.09mm,-98.552mm,T,90
J1,84.836mm,-63.3615mm,T,0
R1,77.47mm,-76.962mm,T,90
R4,88.9mm,-98.552mm,T,90
H1,67.056mm,-58.928mm,T,0
U2,83.053mm,-76.962mm,T,90
R3,88.646mm,-76.962mm,T,90
R2,83.058mm,-85.09mm,T,180
H4,123.9232mm,-123.444mm,T,0
D4,121.925mm,-79.47mm,T,0
U1,107.95mm,-80.0735mm,T,270
D1,106.8325mm,-68.58mm,T,90
C4,100.35mm,-107.95mm,T,180
J4,119.205581mm,-109.5375mm,T,180
R7,112.268mm,-78.4075mm,T,0
H2,123.9232mm,-58.928mm,T,0
C3,104.14mm,-79.969999mm,T,270
U4,123.25mm,-69.85mm,T,90
