Designator,Mid X,Mid Y,Layer,Rotation
R22,96.647mm,-98.552mm,T,180
R5,121.0705mm,-89.1955mm,T,180
J2,84.074mm,-67.0295mm,T,180
J4,119.634mm,-67.1945mm,T,180
J5,99.314mm,-67.1945mm,T,180
R7,117.7665mm,-73.767499mm,T,90
U6,97.04825mm,-81.7025mm,T,270
U5,102.89025mm,-81.7025mm,T,270
U2,120.41625mm,-81.7025mm,T,270
U4,108.73225mm,-81.7025mm,T,270
R4,123.6085mm,-73.767499mm,T,90
U3,114.57425mm,-81.7025mm,T,270
J8,110.236mm,-115.8757mm,T,90
J7,119.38mm,-124.8295mm,T,0
R2,77.978mm,-101.6mm,T,0
C1,77.978003mm,-97.856mm,T,270
R1,77.978mm,-100.33mm,T,0
J6,99.06mm,-124.8295mm,T,0
R10,111.9245mm,-73.7675mm,T,90
U8,85.36425mm,-81.7025mm,T,270
J9,83.82mm,-124.9945mm,T,0
U7,91.20625mm,-81.7025mm,T,270
R8,115.3535mm,-89.1955mm,T,180
U9,79.52225mm,-81.7025mm,T,270
R41,87.5405mm,-73.7675mm,T,270
R40,91.9855mm,-89.1955mm,T,180
R32,105.0665mm,-73.7675mm,T,270
U10,110.998mm,-98.22mm,T,180
R31,109.5115mm,-89.1955mm,T,180
D9,120.2865mm,-73.7675mm,T,0
R6,116.7505mm,-73.767499mm,T,270
SW1,76.982mm,-110.2785mm,T,90
R25,96.645mm,-103.124mm,T,180
R20,96.645mm,-95.504mm,T,180
R13,103.886mm,-108.0017mm,T,0
D3,106.426mm,-110.3077mm,T,90
R24,96.645mm,-101.6mm,T,180
R38,93.3825mm,-73.7675mm,T,270
D11,114.4445mm,-73.7675mm,T,0
R37,97.8275mm,-89.1955mm,T,180
R11,119.126mm,-108.0017mm,T,0
R30,81.534mm,-100.584mm,T,0
H4,135.636mm,-128.27mm,T,0
D5,111.506mm,-110.3077mm,T,90
J1,68.767mm,-95.106mm,T,180
R21,96.647mm,-97.028mm,T,180
R44,81.6985mm,-73.7675mm,T,270
R34,103.6695mm,-89.1955mm,T,180
D1,101.346mm,-110.3077mm,T,90
D4,108.966mm,-110.3077mm,T,90
R33,106.0825mm,-73.7675mm,T,90
D17,96.9185mm,-73.7675mm,T,0
D8,119.126mm,-110.3077mm,T,90
R36,100.2405mm,-73.7675mm,T,90
R23,96.645mm,-100.076mm,T,180
D6,114.046mm,-110.3077mm,T,90
D2,103.886mm,-110.3077mm,T,90
R9,110.9085mm,-73.767499mm,T,270
R39,94.3985mm,-73.7675mm,T,90
R14,106.426mm,-108.0017mm,T,0
H3,73.152mm,-128.27mm,T,0
R16,111.506mm,-108.0017mm,T,0
R46,80.3015mm,-89.1955mm,T,180
R18,116.586mm,-108.0017mm,T,0
D7,116.586mm,-110.3077mm,T,90
R28,81.534mm,-97.536mm,T,0
D13,108.6025mm,-73.7675mm,T,0
R35,99.2245mm,-73.7675mm,T,270
R12,101.346mm,-108.0017mm,T,0
H1,73.152mm,-63.754mm,T,0
R43,86.1435mm,-89.1955mm,T,180
R17,114.046mm,-108.0017mm,T,0
H2,135.636mm,-63.754mm,T,0
D21,85.2345mm,-73.7675mm,T,0
R15,108.966mm,-108.0017mm,T,0
R42,88.5565mm,-73.7675mm,T,90
SW2,86.36mm,-110.2785mm,T,90
R45,82.7145mm,-73.7675mm,T,90
D23,79.3925mm,-73.7675mm,T,0
R3,122.5925mm,-73.767499mm,T,270
D15,102.7605mm,-73.7675mm,T,0
D19,91.0765mm,-73.7675mm,T,0
R26,96.645mm,-104.648mm,T,180
R29,81.534mm,-99.06mm,T,0
J3,130.918381mm,-93.9835mm,T,180
R19,96.645mm,-93.98mm,T,180
U1,89.916mm,-98.044mm,T,270
